梅州移动V4,#genre#

广东卫视高清,https://php.17186.eu.org/gdtv/web/gdws.m3u8
广东珠江高清,https://php.17186.eu.org/gdtv/web/gdzj.m3u8
广东新闻高清,http://xl3.ke9527.com:14022/udp/239.20.0.112:2022
广东公共高清,http://xl3.ke9527.com:14022/udp/239.21.0.86:3684
大湾区卫视高清,https://php.17186.eu.org/gdtv/web/nfws.m3u8
广东体育高清,http://xl3.ke9527.com:14022/udp/239.20.0.103:2004
广东民生流暢,https://php.17186.eu.org/gdtv/web/gdgg.m3u8
广东少儿高清,https://php.17186.eu.org/gdtv/web/gdse.m3u8
广东嘉佳卡通高清,https://php.17186.eu.org/gdtv/web/jjkt.m3u8
广东影视高清,https://php.17186.eu.org/gdtv/web/gdys.m3u8
CCTV1高清,http://xl3.ke9527.com:14022/udp/239.20.0.104:2006
CCTV2高清,http://xl3.ke9527.com:14022/udp/239.20.0.197:2192
CCTV3高清,http://xl3.ke9527.com:14022/udp/239.20.0.28:3292
CCTV4高清,http://xl3.ke9527.com:14022/udp/239.20.0.16:3340
CCTV5高清,http://xl3.ke9527.com:14022/udp/239.20.0.30:3284
CCTV6高清,http://xl3.ke9527.com:14022/udp/239.20.0.29:3288
CCTV7高清,http://xl3.ke9527.com:14022/udp/239.20.0.198:2194
CCTV8高清,http://xl3.ke9527.com:14022/udp/239.20.0.31:3280
CCTV9高清,http://xl3.ke9527.com:14022/udp/239.20.0.199:2196
CCTV10高清,http://xl3.ke9527.com:14022/udp/239.20.0.200:2198
CCTV11高清,http://xl3.ke9527.com:14022/udp/239.21.0.35:3480
CCTV12高清,http://xl3.ke9527.com:14022/udp/239.20.0.201:2200
CCTV13高清,http://xl3.ke9527.com:14022/udp/239.20.0.183:2164
CCTV14高清,http://xl3.ke9527.com:14022/udp/239.20.0.202:2202
CCTV15高清,http://xl3.ke9527.com:14022/udp/239.21.0.36:3484
CCTV17高清,http://xl3.ke9527.com:14022/udp/239.20.0.7:3376
韶关综合高清,http://cz.ke9527.com:14024/udp/239.11.0.84:1025
清远综合高清,http://cz.ke9527.com:14024/udp/239.11.0.74:1025
清远公共高清,http://cz.ke9527.com:14024/udp/239.11.0.75:1025
湖南卫视高清,http://xl3.ke9527.com:14022/udp/239.20.0.105:2008
浙江卫视高清,http://xl3.ke9527.com:14022/udp/239.20.0.169:2136
IPTV谍战剧场,http://xl3.ke9527.com:14022/udp/239.20.0.228:2254
IPTV相声小品,http://xl3.ke9527.com:14022/udp/239.20.0.229:2256
炫动卡通,http://xl3.ke9527.com:14022/udp/239.20.0.164:2126
卡库动画,http://xl3.ke9527.com:14022/udp/239.20.0.162:2122
金鹰卡通,http://xl3.ke9527.com:14022/udp/239.21.0.115:3804
湖南金鹰纪实高清,http://xl3.ke9527.com:14022/udp/239.20.0.196:2190
